created;sku;quantity;amount;name
"2020-12-11 22:58:16.732";"110501";"2";"3725";"Temple D´Color Pro 25 kg"
"2020-12-11 22:58:16.732";"54824";"2";"4966";"Temple 25kg."
"2020-12-12 09:53:58.993";"127837";"1";"74299";"Mueble de cocina Amora 122cm"
"2020-12-12 10:55:01.692";"129914";"1";"1423";"Set x 2 colgantes bola papel"
"2020-12-12 10:55:01.692";"129294";"1";"1900";"Calendario madera muñeco de nieve"
"2020-12-12 10:55:01.692";"129897";"5";"659";"Cinta decorativa estampada rojo"
"2020-12-12 10:55:01.692";"129280";"1";"2855";"Reno decorativo Ratán Led"
"2020-12-12 10:55:01.692";"129298";"1";"4765";"Muñeco Santa balanceado"
"2020-12-12 12:54:44.432";"50679";"4";"26721";"Tanque para inodoro + Taza Omega Blanco"
"2020-12-12 13:13:40.435";"105848";"4";"8385";"Lavatorio Punta Sal Blanco"
"2020-12-12 19:08:51.65";"131893";"1";"63011";"Caja china mediana Jr Black Galvaniz"
"2020-12-12 20:58:35.569";"102507";"2";"66659";"Sofá cama Euro Gris Claro"
"2020-12-12 22:34:37.897";"130944";"1";"15261";"Ventilador 3 en 1 negro 16""Orange"
"2020-12-12 22:34:37.897";"127837";"1";"74299";"Mueble de cocina Amora 122cm"
"2020-12-13 12:52:41.382";"118893";"1";"41829";"Centro de Entrenimiento San Lorenzo"
"2020-12-13 13:06:51.224";"76161";"1";"66659";"Piscina estructural Splash Frame 300x201x66c 3300 litros"
"2020-12-14 19:46:15.504";"119805";"1";"123959";"Cocina A Gas 24"" Cmp6015Ag Mabe"
"2020-12-14 20:26:48.288";"113541";"1";"45649";"Piscina estructural Steel Pro 221x150x43cm 1200 litros"
"2020-12-15 04:37:09.712";"76163";"1";"24811";"Piscina inflable 244cm 2100L Fast Set"
"2020-12-15 08:25:55.725";"129281";"1";"2855";"Bowl cuadrado Santa menaje"
"2020-12-15 08:25:55.725";"131552";"1";"38009";"Freidora de aire de 3.5L Holstein"
"2020-12-15 08:25:55.725";"129343";"1";"2378";"Bowl Santa texturado menaje"
"2020-12-15 08:25:55.725";"129988";"1";"2855";"Set x2 cuchara/tenedor para ensalada"
"2020-12-15 17:07:46.469";"113541";"1";"45649";"Piscina estructural Steel Pro 221x150x43cm 1200 litros"
"2020-12-15 17:07:46.469";"114301";"1";"6666";"Cobertor para piscinas 2.21x1.50 metros"
"2020-12-16 19:21:27.005";"129394";"2";"1142";"Set x 16 cubiertos Navidad"
"2020-12-16 19:21:27.005";"129296";"1";"493";"Set x 4 cintas Navidad"
"2020-12-16 19:21:27.005";"129896";"2";"264";"Cinta decorativa estampada diseño dorado"
"2020-12-16 19:21:27.005";"129716";"1";"875";"Bombilla Led Verde"
"2020-12-16 19:21:27.005";"129697";"1";"1906";"Cojín 43x43cm Santa"
"2020-12-16 19:21:27.005";"129693";"2";"493";"Bola de nieve pequeño muñeco de nieve"
"2020-12-16 19:21:27.005";"129897";"1";"264";"Cinta decorativa estampada rojo"
"2020-12-16 19:21:27.005";"129680";"1";"2288";"Muñeco Reno pequeño"
"2020-12-16 19:21:27.005";"129301";"1";"2288";"Muñeco Zorro Parado"
"2020-12-16 19:21:27.005";"129294";"1";"760";"Calendario madera muñeco de nieve"
"2020-12-16 19:21:27.005";"108726";"3";"760";"Luces Arroz Blanco x100 luces"
"2020-12-16 20:56:54.579";"128046";"1";"567";"Maceta blanca Bistrot"
"2020-12-16 20:56:54.579";"82958";"1";"3992";"Granalla 10 kg"
"2020-12-16 23:03:47.939";"116599";"1";"66659";"Ropero Cali Nature 6 puertas 2 cajones"
"2020-12-16 23:03:47.939";"33475";"3";"4424";"Cemento Portland Tipo Extraforte Ico Pacasmayo 42.5kg"
"2020-12-16 23:03:47.939";"131302";"1";"15089";"Rack con brazo LCD TV 23-55 + cable HDMI"
"2020-12-16 23:03:47.939";"76160";"1";"57109";"Piscina estructural 259x170cm 2300L"
"2020-12-16 23:41:35.607";"96070";"5";"191";"Cenefa Minnie Bebé Verde 18cm 5 metros"
"2020-12-16 23:41:35.607";"129394";"2";"1142";"Set x 16 cubiertos Navidad"
"2020-12-16 23:41:35.607";"129693";"1";"493";"Bola de nieve pequeño muñeco de nieve"
"2020-12-16 23:41:35.607";"129545";"5";"149";"Magnético Muñeco de nieve para refrigerador"
"2020-12-16 23:41:35.607";"129296";"2";"493";"Set x 4 cintas Navidad"
"2020-12-16 23:41:35.607";"129697";"2";"1906";"Cojín 43x43cm Santa"
"2020-12-16 23:41:35.607";"129286";"2";"493";"Muñeco de tela Ratón"
"2020-12-16 23:41:35.607";"129282";"1";"493";"Muñeco de tela Ángel"
"2020-12-16 23:41:35.607";"129294";"1";"760";"Calendario madera muñeco de nieve"
"2020-12-16 23:41:35.607";"129308";"3";"646";"Salero y pimentero menaje"
"2020-12-16 23:41:35.607";"129916";"1";"760";"Planta artificial Cactus"
"2020-12-16 23:41:35.607";"129695";"1";"378";"Lentes muñeco de nieve Navidad"
"2020-12-17 00:56:40.924";"129991";"1";"187";"Set x 24 etiquetas sticker Navidad"
"2020-12-17 00:56:40.924";"129303";"1";"646";"Set x 5 cintas Navidad"
